ResourceExternalId,UserExternalId,AssignmentType,SystemName
E-ed294510,P-f9fda4fd,Direct,Directory Catalog 03
E-ed294510,P-731dde5b,Direct,Directory Catalog 03
E-ed294510,P-6b35c826,Direct,Directory Catalog 03
E-81b99e32,P-2d4a1ff6,Direct,Directory Vault 01
E-b8287a87,P-50665170,Direct,Directory Vault 01
E-b8287a87,P-9edf233c,Direct,Directory Vault 01
E-b8287a87,P-ad5f4af3,Direct,Directory Vault 01
E-b8287a87,P-f9fda4fd,Direct,Directory Vault 01
E-b8287a87,P-731dde5b,Direct,Directory Vault 01
E-b8287a87,P-6b35c826,Direct,Directory Vault 01
E-b243bae9,P-af4016bd,Direct,Directory Hub 02
E-dbc27cdd,P-2d4a1ff6,Direct,Directory Vault 01
E-dbc27cdd,P-af4016bd,Direct,Directory Vault 01
E-f1638581,P-731dde5b,Direct,Directory Vault 01
E-f1638581,P-2d4a1ff6,Direct,Directory Vault 01
E-f1638581,P-ad5f4af3,Direct,Directory Vault 01
E-f1638581,P-14f3a789,Direct,Directory Vault 01
E-f1638581,P-50665170,Direct,Directory Vault 01
E-f1638581,P-6b35c826,Direct,Directory Vault 01
E-f1638581,P-c32faa3e,Direct,Directory Vault 01
E-f1638581,P-f9fda4fd,Direct,Directory Vault 01
E-f1638581,P-af4016bd,Direct,Directory Vault 01
E-f1638581,P-9edf233c,Direct,Directory Vault 01
E-f1638581,P-e63eb3e1,Direct,Directory Vault 01
E-fc459771,P-e63eb3e1,Direct,Directory Hub 02
E-b8842481,P-50665170,Direct,Directory Vault 01
E-b8842481,P-14f3a789,Direct,Directory Vault 01
E-e553be23,P-9edf233c,Direct,Directory Vault 01
E-e553be23,P-af4016bd,Direct,Directory Vault 01
E-e553be23,P-f9fda4fd,Direct,Directory Vault 01
E-d8ccf685,P-50665170,Direct,Directory Vault 01
E-d8ccf685,P-6b35c826,Direct,Directory Vault 01
E-d8ccf685,P-c32faa3e,Direct,Directory Vault 01
E-d8ccf685,P-f9fda4fd,Direct,Directory Vault 01
E-d8ccf685,P-af4016bd,Direct,Directory Vault 01
E-d8ccf685,P-9edf233c,Direct,Directory Vault 01
E-d8ccf685,P-e63eb3e1,Direct,Directory Vault 01
E-d8ccf685,P-2beb2893,Direct,Directory Vault 01
E-26dafd27,P-f9fda4fd,Direct,Directory Hub 02
E-9484ce57,P-f9fda4fd,Direct,Directory Hub 02
R-85334dab,P-14f3a789,Direct,Identity Store
R-85334dab,P-ad5f4af3,Direct,Identity Store
R-85334dab,P-2d4a1ff6,Direct,Identity Store
R-1fce7d5f,P-14f3a789,Direct,Identity Store
