ExternalId,DisplayName,ResourceType,Description,SystemName,Enabled,EntitlementValue
E-ed294510,"CN=GRP-CRM-APPROVE-1TSXQMO,OU=Application Groups,OU=East,DC=corp,DC=example,DC=com",Group,"Grants change access to LAB data, East region, Customer Service",Directory Catalog 03,true,"CN=GRP-CRM-APPROVE-1TSXQMO,OU=Application Groups,OU=East,DC=corp,DC=example,DC=com"
E-81b99e32,"CN=GRP-GL-AUDIT-ZZSCOI,OU=Roles,OU=East,DC=corp,DC=example,DC=com",Group,"Grants delete access to MES data, Global region, Communications",Directory Vault 01,true,"CN=GRP-GL-AUDIT-ZZSCOI,OU=Roles,OU=East,DC=corp,DC=example,DC=com"
E-b8287a87,"CN=GRP-MES-READ-1F3I5C7,OU=Roles,OU=Central,DC=corp,DC=example,DC=com",Group,"Grants post access to GL data, Central region, Legal",Directory Vault 01,true,"CN=GRP-MES-READ-1F3I5C7,OU=Roles,OU=Central,DC=corp,DC=example,DC=com"
E-b243bae9,"CN=GRP-DMS-MAINTAIN-1DGMV3D,OU=Security Groups,OU=Global,DC=corp,DC=example,DC=com",Group,"Grants create access to LAB data, West region, Engineering",Directory Hub 02,true,"CN=GRP-DMS-MAINTAIN-1DGMV3D,OU=Security Groups,OU=Global,DC=corp,DC=example,DC=com"
E-dbc27cdd,"CN=GRP-ITSM-POST-1OZ49NH,OU=Groups,OU=South,DC=corp,DC=example,DC=com",Group,"Grants approve access to LEG data, South region, Treasury",Directory Vault 01,true,"CN=GRP-ITSM-POST-1OZ49NH,OU=Groups,OU=South,DC=corp,DC=example,DC=com"
E-f1638581,"CN=GRP-QA-ADMIN-1UZ5XTT,OU=Application Groups,OU=West,DC=corp,DC=example,DC=com",Group,"Grants maintain access to SO data, Global region, Marketing",Directory Vault 01,true,"CN=GRP-QA-ADMIN-1UZ5XTT,OU=Application Groups,OU=West,DC=corp,DC=example,DC=com"
E-fc459771,"CN=GRP-INV-MAINTAIN-1XZVFJL,OU=Distribution,OU=Central,DC=corp,DC=example,DC=com",Group,"Grants release access to ITSM data, Central region, Legal",Directory Hub 02,true,"CN=GRP-INV-MAINTAIN-1XZVFJL,OU=Distribution,OU=Central,DC=corp,DC=example,DC=com"
E-b8842481,"CN=GRP-AR-READ-1F72WLD,OU=Application Groups,OU=East,DC=corp,DC=example,DC=com",Group,"Grants post access to LAB data, East region, Facilities",Directory Vault 01,true,"CN=GRP-AR-READ-1F72WLD,OU=Application Groups,OU=East,DC=corp,DC=example,DC=com"
E-e553be23,"CN=GRP-SO-AUDIT-1RMONC3,OU=Roles,OU=South,DC=corp,DC=example,DC=com",Group,"Grants admin access to MES data, West region, Application Development",Directory Vault 01,true,"CN=GRP-SO-AUDIT-1RMONC3,OU=Roles,OU=South,DC=corp,DC=example,DC=com"
E-d8ccf685,"CN=GRP-DMS-APPROVE-1O5K77P,OU=Distribution,OU=North,DC=corp,DC=example,DC=com",Group,"Grants release access to TRS data, South region, Audit",Directory Vault 01,true,"CN=GRP-DMS-APPROVE-1O5K77P,OU=Distribution,OU=North,DC=corp,DC=example,DC=com"
E-26dafd27,"CN=GRP-HR-RELEASE-AS46CN,OU=Application Groups,OU=Global,DC=corp,DC=example,DC=com",Group,"Grants post access to INV data, Global region, Operations",Directory Hub 02,true,"CN=GRP-HR-RELEASE-AS46CN,OU=Application Groups,OU=Global,DC=corp,DC=example,DC=com"
E-9484ce57,"CN=GRP-HR-CREATE-157IGD3,OU=Distribution,OU=East,DC=corp,DC=example,DC=com",Group,"Grants approve access to DMS data, Central region, Sales",Directory Hub 02,true,"CN=GRP-HR-CREATE-157IGD3,OU=Distribution,OU=East,DC=corp,DC=example,DC=com"
R-85334dab,BR Communications Developer 00001,BusinessRole,"Business role for Developer, Communications",Identity Store,true,
R-1fce7d5f,BR Operations Administrator 00002,BusinessRole,"Business role for Administrator, Operations",Identity Store,true,
